job_listing,original_date_posted,skills,company_name,job_city,job_region,job_postal_code,intext_job_title,intext_company_name,intext_date_posted,intext_location,get_education_level,intext_skills,coding_languages,technologies,methodologies,operating_systems,remote,years_experience,date_of_processing,salary,URL
Senior Data Scientist,2021-06-28T22:17:51Z,"Artificial Intelligence, Python, IT, SAS, SQL, PowerPoint, Foundation",New York Life Insurance Company,New York,NY,10001,Senior Data Scientist,New York Life Insurance Company,,"New York, NY",Associate's - Masters,"machine learning, model deployment, sales, technical support, data analysis, r, leadership, underwriting, python, computer science, operations research, statistics, teamwork, testing, sql, artificial intelligence, sas, product design, statistical analysis, mathematics, marketing, data science, data visualization, project scoping, modeling","sas, r, processing, spark, lasso, sql, python",,incremental,,False,3 to 5,6292021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-New-York-Life-Insurance-Company-New-York-NY-10001/10127844a/83873%26%2345en_US
Data Scientist,2021-06-01T00:32:45Z,"Research, Computer, Programming, Python, Java, SQL, JavaScript, HTTP, SSL, Access",comScore,Amsterdam,,12010,Data Scientist,comScore,,Amsterdam,Bachelor's - Masters,"machine learning, online advertising, clustering, java, data structures, big data, r, advertising, python, computer science, operations research, ssl, statistics, teamwork, written communication skills, communication skills, sql, algorithms, scala, javascript","scala, r, javascript, source, java, sql, python",,,,False,2,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-comScore-Amsterdam--12010/10121572/4658
Data Scientist,2021-06-09T18:16:51Z,"Data, collect, clean, analyze",University Of Delaware,Newark,DE,19702,Data Scientist,University Of Delaware,6/15/2021,"Newark, DE",Bachelor's - Masters,"sas, data analysis, algorithms, r, writing, mathematics, data science, sql, leadership, statistics, focus groups, data collection, project planning, modeling, python","sas, r, stata, clean, sql, python",,,college,False,3 to 5,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-University-Of-Delaware-Newark-DE-19702/10100547/496555
Principal Data Scientist - Search,2021-04-30T23:30:59Z,"Algorithms, Engineers, Python, Java, Data Mining, Computer, Research",Walmart,Sunnyvale,CA,94086,Principal Data Scientist,Search,6/29/2021,"Walmart - Sunnyvale, CA",Associate's - Masters,"machine learning, cadence, online advertising, java, big data, r, advertising, deep learning, python, computer science, operations research, data mining, statistics, distributed computing, algorithms, scala, tensorflow, mathematics, data science, less, modeling","plus, scala, r, ml, source, java, spark, python",tensorflow,,,False,3 to 7,6292021,,https://www.dice.com/jobs/detail/Principal-Data-Scientist-%26%2345-Search-Walmart-Sunnyvale-CA-94086/appblok/8261_R%26%2345525457
Data Scientist - Entry Level,2021-05-07T00:30:18Z,"Laboratory, Security, Applications, Java, Python, Matlab, Linux, UNIX, Windows",Lawrence Livermore National Laboratory,Livermore,CA,94550,Data Scientist,Entry Level,,"Lawrence Livermore National Laboratory - Livermore, CA",Bachelor's - Masters,"database, machine learning, research and development, modeling, embedded, java, data analysis, parallel computing, big data, r, c, high performance computing, data management, unix, python, computer science, c++, data mining, written communication skills, data integration, interpersonal skills, communication skills, algorithms, statistical analysis, matlab, access control, linux, computer engineering","r, matlab, c, python, java, q, c++, processing",,,linux,False,,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-Entry-Level-Lawrence-Livermore-National-Laboratory-Livermore-CA-94550/LLNL/REF965A
Bioinformatics Data Scientist,2021-06-28T13:09:04Z,Python,Jobot,Pittsburgh,PA,15201,Bioinformatics Data Scientist,Jobot,6/29/2021,"Pittsburgh, PA",Bachelor's - Masters,"machine learning, r, life sciences, data science, bioinformatics, python","t, b, r, python",,,,False,3 to 5,6292021,,https://www.dice.com/jobs/detail/Bioinformatics-Data-Scientist-Jobot-Pittsburgh-PA-15201/91113390/1182454877
Principal AI Data Scientist,2021-06-05T00:18:15Z,,Phoenix Staf,Phoenix,AZ,85044,Principal AI Data Scientist,"Phoenix Staff, Inc.",6/1/2021,"Phoenix, AZ",Bachelor's - Masters,"deep learning, machine learning, data science, python, natural language processing, natural, cloud, computer vision, artificial intelligence","python, processing",,,vision,False,5,6292021,,https://www.dice.com/jobs/detail/Principal-AI-Data-Scientist-Phoenix-Staff%2C-Inc.-Phoenix-AZ-85044/10107731/JOB%26%23455705
Senior Data Scientist - Remote,2021-05-18T23:09:20Z,,Kforce Technology Staffing,Nashville,TN,37219,Senior Data Scientist,Remote,6/29/2021,"Kforce Technology Staffing - Nashville, TN",Bachelor's - Masters,"project management, six sigma, waterfall, machine learning, r, marketing, data science, marketing research, agile, product development, statistics, digital media, robotics, retail operations, continuous improvement, python","small, r, python",,agile,,True,2 to 5,6292021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-%26%2345-Remote-Kforce-Technology-Staffing-Nashville-TN-37219/kforcecx/ITAQG1955043
Data Scientist,2020-12-21T16:15:04Z,"NLP, ""Deep Machine Learning"", R, Python, ""AWS cloud computing"", Spark, Artificial intelligence, Communication skills, Machine learning, Data Science, Natural language processing, Deep learning, Federal government, Information management, Attention to detail",Satsyil Corporation,Alexandria,VA,22301,Data Scientist,Satsyil Corporation,,"Alexandria, VA",Masters,"roadmaps, attention to detail, machine learning, r, information management, data science, python, leadership, natural language processing, natural, cloud, automation, deep learning, communication skills, artificial intelligence","r, spark, python, processing",,,,False,9,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Satsyil-Corporation-Alexandria-VA-22301/10491343/6791417
Data Scientist,2021-05-10T15:30:25Z,"data science, machine learning, Python, R, Julia, cloud, Azure, deep learning, Tensorflow, PyTorch, MXNet, data, Algorithms, Predictive analytics, Statistics, Use cases, Optimization, Performance improvement, Software development, Supply chain management, Warehouse, analytics",Lucas Systems Inc,Wexford,PA,15090,Data Scientist,Lucas Systems Inc,6/15/2021,"Wexford, PA",Bachelor's - Masters,"machine learning, supply chain management, product development, cloud, trade shows, r, deep learning, python, computer science, software development, statistics, use cases, predictive analytics, algorithms, statistical analysis, tensorflow, data science, writing, julia","julia, r, python","pytorch, tensorflow",,,False,,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Lucas-Systems-Inc-Wexford-PA-15090/10121577/DSMay21
