,Occurrence
python,657
sql,445
r,382
processing,234
spark,191
java,162
ml,141
sas,116
plus,113
pipelines,106
scala,91
source,90
small,58
c++,56
matlab,49
mysql,44
oracle,41
nosql,38
nan,36
s3,34
c,32
reason,30
goal,29
javascript,29
context,27
clean,26
go,26
shell,24
elasticsearch,21
rest,21
s,18
rapid,17
c#,16
signal,15
sr,15
scratch,14
factor,13
microsoft,13
simple,13
bash,11
fl,11
perl,11
self,10
postgresql,10
server,10
lean,9
xml,9
julia,9
typescript,8
e,8
stata,8
powerhouse,8
ruby,8
dc,8
t,7
redis,7
pl/sql,7
d,7
gap,7
linc,6
b,6
pilot,5
script,5
lucid,4
xslt,4
kotlin,4
lasso,4
q,4
css,3
red,3
lisp,3
flex,3
powershell,3
access,3
unix,3
s-plus,2
max,2
oak,2
cool,2
php,2
rust,2
gams,2
sqlite,2
f,2
t-sql,2
cypher,1
query,1
p,1
pcf,1
ladder,1
planner,1
tie,1
singularity,1
ead,1
postgre,1
ease,1
a+,1
j,1
focal,1
dynamo,1
mesa,1
language,1
db2,1
arc,1
sol,1
sharp,1
crystal,1
